name,manufacturer
코그닉스정80밀리그램(은행엽건조엑스),(주)종근당
"텔미누보정20/1.25밀리그램(텔미사르탄,에스암로디핀베실산염이수화물)",(주)종근당
"폴민엠파서방정10/1000밀리그램(엠파글리플로진, 메트포르민)",(주)녹십자
에스미정,(주)바스칸바이오제약
목시캄캡슐(멜록시캄),(주)유영제약
멕시캡슐(멜록시캄)(수출명: Momeloxe Cap.),오스틴제약(주)
엘프린정(에날라프릴말레산염),(주)아리제약
록프라정(록소프로펜나트륨수화물),알보젠코리아(주)
레르카닌정(레르카니디핀염산염)(수출용),일양바이오팜(주)
리스돈정1밀리그램(리스페리돈),(주)한국파마
명인벤즈트로핀메실산염정2밀리그램,명인제약(주)
레보멜스주(L-아스파르트산-L-오르니틴)(수출용),명인제약(주)
베타원정(비소프롤롤푸마르산염),(주)셀릭스
경보세프포독심프록세틸정(수출명:DAEZIM Tab.),(주)경보제약
파로세닌정20밀리그램(파록세틴염산염수화물),(주)종근당
알렌맥스정70밀리그램(알렌드론산나트륨),한미약품(주)
일성이솦틴서방정240밀리그람(베라파밀염산염),일성아이에스(주)
네오페질정10밀리그램(도네페질염산염수화물),한국코러스(주)
정우반하후박탕정(단미엑스혼합제),정우신약(주)
알렌드로정70밀리그램(알렌드론산나트륨수화물),동광제약(주)
페리닥터캡슐,동화약품(주)
로랑캡슐10밀리그램(플루옥세틴염산염),(주)서울제약
바이메틴정(트리메부틴말레산염),(주)테라젠이텍스
엘리도스캡슐(에르도스테인),(주)알피바이오
하이엘정10밀리그램(로수바스타틴칼슘),신일제약(주)
오라클러건조시럽125mg/5ml(세파클러수화물),(주)테라젠이텍스
솔리카정10mg(솔리페나신숙신산염),한화제약(주)
콤비로칸정10/16밀리그램,환인제약(주)
영진멀타자핀정15밀리그램(미르타자핀),영진약품(주)
올페나신정5밀리그램(솔리페나신숙신산염),(주)다산제약
모사피트정5밀리그램(모사프리드시트르산염수화물),(주)테라젠이텍스
타미인플캡슐75mg(오셀타미비르인산염),한국휴텍스제약(주)
록시캄캡슐(멜록시캄),일동제약(주)
콤비플렉스엠시티페리주,제이더블유생명과학(주)
바이넥스탐스로신염산염캡슐,(주)바이넥스
에이알비정(로사르탄칼륨),삼진제약(주)
동아페르디핀주사액(니카르디핀염산염),동아에스티(주)
제티암주0.5그램(세포티암염산염),삼진제약(주)
다글리정(글리메피리드),화일약품(주)
펜타지아정(펜터민염산염),(주)휴비스트제약
휴낙정(아세클로페낙),(주)휴비스트제약
동구세파클러수화물캡슐,(주)동구바이오제약
메디녹실액5%(미녹시딜),(주)동구바이오제약
알레스틴정(에피나스틴염산염),(주)동구바이오제약
에어페낙정(아세클로페낙),(주)동구바이오제약
휴리손정(에페리손염산염),(주)휴비스트제약
디유비정,(주)휴온스
아클라오정625밀리그램(아목시실린-클라불란산칼륨),알리코제약(주)
콩크린정(비소프롤롤푸마르산염),구주제약(주)
클라본정375밀리그람,구주제약(주)
피나그렌정5mg(피나스테리드),구주제약(주)
피로폴민주(푸르설티아민염산염),구주제약(주)
아르테크정10밀리그램(아토르바스타틴칼슘수화물),(주)시어스제약
테뉴에이트정(디에틸프로피온염산염),알보젠코리아(주)
라모진정50mg(라모트리진),이연제약(주)
아로클정(아세클로페낙),(주)옵투스제약
타베온정10밀리그램(베포타스틴베실산염),국제약품(주)
덱스원큐에스연질캡슐(덱시부프로펜),동아제약(주)
자디원듀오정5/1000밀리그램,(주)제뉴파마
래피콜노즈연질캡슐,(주)유한양행
